ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	LOAN	RID	SOURCE
1947	194_soft	soft	Khoitam	Kht.	a.duŋ.du	a.duŋ.du	a + d u ŋ + d u	khoi1252	1856	27.327487	92.439455	703	FALSE	7941	LandB2017
1948	194_soft	soft	Rahung	Rah.	a.duŋ.du	a.duŋ.du	a + d u ŋ + d u	rahu1234	1856	27.310778	92.395028	703	FALSE	7942	LandB2017
1949	194_soft	soft	Rupa	Rup.	a.duŋ.du	a.duŋ.du	a + d u ŋ + d u	rupa1234	1856	27.203065	92.398757	703	FALSE	7943	LandB2017
1950	194_soft	soft	Shergaon	She.	a.duŋ.du	a.duŋ.du	a + d u ŋ + d u	sher1261	1856	27.105018	92.272133	703	FALSE	7944	LandB2017
1951	194_soft	soft	BhutanTshangla	Tshangla	ʥam+pu	ʥam+pu	dʑ a m + p u	tsha1245	1856	27.337241	91.551654	573	TRUE	7945	LandB2017
1055	204_straight	straight	BuluPuroik	BP	a.ʧɛɛ	a.ʧɛɛ	a + tʃ ɛː	bulu1255	1404	27.452241	92.44563	719	FALSE	8409	Lieberherr2017
1056	204_straight	straight	DikhyangBugun	Bugun S-D	mʲəŋ	mʲəŋ	m j ə ŋ	dikh1234	1404	27.320666	92.455119	717	FALSE	8410	LandB2017
1057	204_straight	straight	Khispi	Khs.	laŋ.ɕum	laŋ.ɕum	l a ŋ + ɕ u m	lish1235	1404	27.378042	92.223221	559	FALSE	8411	LandB2017
1058	204_straight	straight	Duhumbi	Duh.	raŋ.bu	raŋ.bu	r a ŋ + b u	chug1252	1404	27.416112	92.212034	559	FALSE	8412	LandB2017
1059	204_straight	straight	Khoina	Khn.	a.rɔ̃	a.rɔ̃	a + r ɔ̃	khoi1253	1404	27.334981	92.52994	559	FALSE	8413	LandB2017
1060	204_straight	straight	Jerigaon	Jer.	a.rɔ̃	a.rɔ̃	a + r ɔ̃	jeri1243	1404	27.340629	92.486595	559	FALSE	8414	LandB2017
1061	204_straight	straight	Khoitam	Kht.	a.rũ	a.rũ	a + r ũ	khoi1252	1404	27.327487	92.439455	559	FALSE	8415	LandB2017
1062	204_straight	straight	Rahung	Rah.	a.rũ	a.rũ	a + r ũ	rahu1234	1404	27.310778	92.395028	559	FALSE	8416	LandB2017
1063	204_straight	straight	Rupa	Rup.	a.rũ	a.rũ	a + r ũ	rupa1234	1404	27.203065	92.398757	559	FALSE	8417	LandB2017
1064	204_straight	straight	Shergaon	She.	a.rɔ̃	a.rɔ̃	a + r ɔ̃	sher1261	1404	27.105018	92.272133	559	FALSE	8418	LandB2017
1065	204_straight	straight	BhutanTshangla	Tshangla	ʈʰaŋ+pu	ʈʰaŋ+pu	ʈʰ a ŋ + p u	tsha1245	1404	27.337241	91.551654	1595	TRUE	8419	LandB2017
612	207_ten	ten	BuluPuroik	BP	suɛn	suɛn	s u/w ɛ n	bulu1255	1515	27.452241	92.44563	364	FALSE	8559	Lieberherr2017
613	207_ten	ten	DikhyangBugun	Bugun S-D	su.wã	su.wã	s u + w ã	dikh1234	1515	27.320666	92.455119	364	FALSE	8560	LandB2017
614	207_ten	ten	Khispi	Khs.	san	san	s a n	lish1235	1515	27.378042	92.223221	364	FALSE	8561	LandB2017
615	207_ten	ten	Duhumbi	Duh.	san	san	s a n	chug1252	1515	27.416112	92.212034	364	FALSE	8562	LandB2017
616	207_ten	ten	Khoina	Khn.	sɑ̃	sɑ̃	s ɑ̃	khoi1253	1515	27.334981	92.52994	364	FALSE	8563	LandB2017
617	207_ten	ten	Jerigaon	Jer.	sã	sã	s ã	jeri1243	1515	27.340629	92.486595	364	FALSE	8564	LandB2017
618	207_ten	ten	Khoitam	Kht.	sɔ̃	sɔ̃	s ɔ̃	khoi1252	1515	27.327487	92.439455	364	FALSE	8565	LandB2017
619	207_ten	ten	Rahung	Rah.	sɔ̃	sɔ̃	s ɔ̃	rahu1234	1515	27.310778	92.395028	364	FALSE	8566	LandB2017
620	207_ten	ten	Rupa	Rup.	sɔ̃	sɔ̃	s ɔ̃	rupa1234	1515	27.203065	92.398757	364	FALSE	8567	LandB2017
621	207_ten	ten	Shergaon	She.	sɔ̃	sɔ̃	s ɔ̃	sher1261	1515	27.105018	92.272133	364	FALSE	8568	LandB2017
622	207_ten	ten	BhutanTshangla	Tshangla	se	se	s e	tsha1245	1515	27.337241	91.551654	364	FALSE	8569	LandB2017
1981	208_that	that	BuluPuroik	BP	tɛɛ	tɛɛ	t ɛː	bulu1255	78	27.452241	92.44563	2693	FALSE	8602	Lieberherr2017
1982	208_that	that	Khispi	Khs.	ɔ.gi	ɔ.gi	ɔ + g i	lish1235	78	27.378042	92.223221	880	FALSE	8603	LandB2017
1983	208_that	that	Duhumbi	Duh.	ɔ.gi	ɔ.gi	ɔ + g i	chug1252	78	27.416112	92.212034	880	FALSE	8604	LandB2017
1984	208_that	that	Khoina	Khn.	tʰy	tʰy	tʰ y	khoi1253	78	27.334981	92.52994	2693	FALSE	8605	LandB2017
1985	208_that	that	Jerigaon	Jer.	tʰy	tʰy	tʰ y	jeri1243	78	27.340629	92.486595	2693	FALSE	8606	LandB2017
1986	208_that	that	Khoitam	Kht.	tʰy	tʰy	tʰ y	khoi1252	78	27.327487	92.439455	2693	FALSE	8607	LandB2017
1987	208_that	that	Rahung	Rah.	tʰy	tʰy	tʰ y	rahu1234	78	27.310778	92.395028	2693	FALSE	8608	LandB2017
1988	208_that	that	Rupa	Rup.	tʰy	tʰy	tʰ y	rupa1234	78	27.203065	92.398757	2693	FALSE	8609	LandB2017
1989	208_that	that	Shergaon	She.	tʰu	tʰu	tʰ u	sher1261	78	27.105018	92.272133	2693	FALSE	8610	LandB2017
1990	208_that	that	BhutanTshangla	Tshangla	u+ɲu	u+ɲu	u + ɲ u	tsha1245	78	27.337241	91.551654	4357	FALSE	8611	LandB2017
935	3_theant	the ant	BuluPuroik	BP	ʤam.ʤuʔ	ʤam.ʤuʔ	dʒ a m + dʒ u ʔ	bulu1255	587	27.452241	92.44563	2954	FALSE	94	Lieberherr2017
936	3_theant	the ant	DikhyangBugun	Bugun S-D	ɕi.ɲiŋ	ɕi.ɲiŋ	ɕ i + ɲ i ŋ	dikh1234	587	27.320666	92.455119	29744	FALSE	95	LandB2017
937	3_theant	the ant	Khispi	Khs.	kʰe.tɕʰɔk	kʰe.tɕʰɔk	kʰ e + tɕʰ ɔ k	lish1235	587	27.378042	92.223221	2954	FALSE	96	LandB2017
938	3_theant	the ant	Duhumbi	Duh.	kʰin.tɕʰɔk	kʰin.tɕʰɔk	kʰ i n + tɕʰ ɔ k	chug1252	587	27.416112	92.212034	2954	FALSE	97	LandB2017
939	3_theant	the ant	Khoina	Khn.	ʂan.ɖʐɔk	ʂan.ɖʐɔk	ʂ a n + ɖʐ ɔ k	khoi1253	587	27.334981	92.52994	2954	FALSE	98	LandB2017
940	3_theant	the ant	Jerigaon	Jer.	san.dʑɔk	san.dʑɔk	s a n + dʑ ɔ k	jeri1243	587	27.340629	92.486595	2954	FALSE	99	LandB2017
941	3_theant	the ant	Khoitam	Kht.	saŋ.dʑɔk	saŋ.dʑɔk	s a ŋ + dʑ ɔ k	khoi1252	587	27.327487	92.439455	2954	FALSE	100	LandB2017
942	3_theant	the ant	Rahung	Rah.	saŋ.dʑɔk	saŋ.dʑɔk	s a ŋ + dʑ ɔ k	rahu1234	587	27.310778	92.395028	2954	FALSE	101	LandB2017
943	3_theant	the ant	Rupa	Rup.	san.ɟɔk	san.ɟɔk	s a n + ɟ ɔ k	rupa1234	587	27.203065	92.398757	2954	FALSE	102	LandB2017
944	3_theant	the ant	Shergaon	She.	san.dʑɔk	san.dʑɔk	s a n + dʑ ɔ k	sher1261	587	27.105018	92.272133	2954	FALSE	103	LandB2017
945	3_theant	the ant	BhutanTshangla	Tshangla	kʰaŋ+dʑi+la	kʰaŋ+dʑi+la	kʰ a ŋ + dʑ i + l a	tsha1245	587	27.337241	91.551654	3740	FALSE	104	LandB2017
2427	4_thearmpit	the armpit	BuluPuroik	BP	ba+ʒɨ+tʃəm	ba+ʒɨ+tʃəm	b a + ʒ ɨ + tʃ ə m	bulu1255	1886	27.452241	92.44563		FALSE	0	Lieberherr2017
2428	4_thearmpit	the armpit	Khispi	Khs.	hut+pʰaŋ	hut+pʰaŋ	h u t + pʰ a ŋ	lish1235	1886	27.378042	92.223221		FALSE	0	LandB2017
2429	4_thearmpit	the armpit	Duhumbi	Duh.	hut+pʰar+kʰa	hut+pʰar+kʰa	h u t + pʰ a r + kʰ a	chug1252	1886	27.416112	92.212034		FALSE	0	LandB2017
1192	6_thebamboo	the bamboo	BuluPuroik	BP	ma.bjao	ma.bjao	m a + b j ao	bulu1255	1927	27.452241	92.44563	3481	FALSE	195	Lieberherr2017
1193	6_thebamboo	the bamboo	DikhyangBugun	Bugun S-D	moɛ	moɛ	m oɛ	dikh1234	1927	27.320666	92.455119	3481	FALSE	196	LandB2017
1194	6_thebamboo	the bamboo	Khispi	Khs.	mɛj	mɛj	m ɛ j	lish1235	1927	27.378042	92.223221	3481	FALSE	197	LandB2017
1195	6_thebamboo	the bamboo	Duhumbi	Duh.	mɛj	mɛj	m ɛ j	chug1252	1927	27.416112	92.212034	3481	FALSE	198	LandB2017
1196	6_thebamboo	the bamboo	Khoina	Khn.	maˀ	maˀ	m aˀ	khoi1253	1927	27.334981	92.52994	3481	FALSE	199	LandB2017
1197	6_thebamboo	the bamboo	Jerigaon	Jer.	mɛˀ	mɛˀ	m ɛˀ	jeri1243	1927	27.340629	92.486595	3481	FALSE	200	LandB2017
1198	6_thebamboo	the bamboo	Khoitam	Kht.	mɛˀ	mɛˀ	m ɛˀ	khoi1252	1927	27.327487	92.439455	3481	FALSE	201	LandB2017
1199	6_thebamboo	the bamboo	Rahung	Rah.	mɛˀ	mɛˀ	m ɛˀ	rahu1234	1927	27.310778	92.395028	3481	FALSE	202	LandB2017
1200	6_thebamboo	the bamboo	Rupa	Rup.	maˀ	maˀ	m aˀ	rupa1234	1927	27.203065	92.398757	3481	FALSE	203	LandB2017
1201	6_thebamboo	the bamboo	Shergaon	She.	maˀ	maˀ	m aˀ	sher1261	1927	27.105018	92.272133	3481	FALSE	204	LandB2017
1202	6_thebamboo	the bamboo	BhutanTshangla	Tshangla	ɕi	ɕi	ɕ i	tsha1245	1927	27.337241	91.551654	62	FALSE	205	LandB2017
155	7_thebarleytibetanorhighland	the barley (tibetan or highland)	BuluPuroik	BP	pʰu.ri	pʰu.ri	pʰ u + r i	bulu1255	932	27.452241	92.44563	48	FALSE	245	Lieberherr2017
156	7_thebarleytibetanorhighland	the barley (tibetan or highland)	DikhyangBugun	Bugun S-D	pʰʲuk	pʰʲuk	pʰ j u k	dikh1234	932	27.320666	92.455119	48	FALSE	246	LandB2017
157	7_thebarleytibetanorhighland	the barley (tibetan or highland)	Khispi	Khs.	pʰɔk	pʰɔk	pʰ ɔ k	lish1235	932	27.378042	92.223221	48	FALSE	247	LandB2017
158	7_thebarleytibetanorhighland	the barley (tibetan or highland)	Duhumbi	Duh.	pʰɔk	pʰɔk	pʰ ɔ k	chug1252	932	27.416112	92.212034	48	FALSE	248	LandB2017
159	7_thebarleytibetanorhighland	the barley (tibetan or highland)	Khoina	Khn.	pʰuk da.klø	pʰuk_da.klø	pʰ u k + d a + k l ø	khoi1253	932	27.334981	92.52994	48	FALSE	249	LandB2017
160	7_thebarleytibetanorhighland	the barley (tibetan or highland)	Jerigaon	Jer.	pʰuk	pʰuk	pʰ u k	jeri1243	932	27.340629	92.486595	48	FALSE	250	LandB2017
161	7_thebarleytibetanorhighland	the barley (tibetan or highland)	Khoitam	Kht.	pʰuk	pʰuk	pʰ u k	khoi1252	932	27.327487	92.439455	48	FALSE	251	LandB2017
162	7_thebarleytibetanorhighland	the barley (tibetan or highland)	Rahung	Rah.	pʰuk	pʰuk	pʰ u k	rahu1234	932	27.310778	92.395028	48	FALSE	252	LandB2017
163	7_thebarleytibetanorhighland	the barley (tibetan or highland)	Rupa	Rup.	pʰuk	pʰuk	pʰ u k	rupa1234	932	27.203065	92.398757	48	FALSE	253	LandB2017
164	7_thebarleytibetanorhighland	the barley (tibetan or highland)	Shergaon	She.	pʰuk	pʰuk	pʰ u k	sher1261	932	27.105018	92.272133	48	FALSE	254	LandB2017
165	7_thebarleytibetanorhighland	the barley (tibetan or highland)	BhutanTshangla	Tshangla	pʰe+muŋ	pʰe+muŋ	pʰ e + m u ŋ	tsha1245	932	27.337241	91.551654	48	FALSE	255	LandB2017
1203	9_thebelly	the belly	BuluPuroik	BP	a.ɬyi	a.ɬyi	a + ɬ y i	bulu1255	1251	27.452241	92.44563	884	FALSE	275	Lieberherr2017
1204	9_thebelly	the belly	DikhyangBugun	Bugun S-D	luj	luj	l u j	dikh1234	1251	27.320666	92.455119	884	FALSE	276	LandB2017
1205	9_thebelly	the belly	Khispi	Khs.	hi.niŋ	hi.niŋ	h i + n i ŋ	lish1235	1251	27.378042	92.223221	884	FALSE	277	LandB2017
1206	9_thebelly	the belly	Duhumbi	Duh.	hi.liŋ	hi.liŋ	h i + l i ŋ	chug1252	1251	27.416112	92.212034	884	FALSE	278	LandB2017
1207	9_thebelly	the belly	Khoina	Khn.	ʂə.rĩ	ʂə.rĩ	ʂ ə + r ĩ	khoi1253	1251	27.334981	92.52994	884	FALSE	279	LandB2017
1208	9_thebelly	the belly	Jerigaon	Jer.	sə.rĩ	sə.rĩ	s ə + r ĩ	jeri1243	1251	27.340629	92.486595	884	FALSE	280	LandB2017
1209	9_thebelly	the belly	Khoitam	Kht.	pʰə.riŋ	pʰə.riŋ	pʰ ə + r i ŋ	khoi1252	1251	27.327487	92.439455	884	FALSE	281	LandB2017
1210	9_thebelly	the belly	Rahung	Rah.	sə.riŋ	sə.riŋ	s ə + r i ŋ	rahu1234	1251	27.310778	92.395028	884	FALSE	282	LandB2017
1211	9_thebelly	the belly	Rupa	Rup.	sə.riŋ	sə.riŋ	s ə + r i ŋ	rupa1234	1251	27.203065	92.398757	884	FALSE	283	LandB2017
1212	9_thebelly	the belly	Shergaon	She.	sə.riŋ	sə.riŋ	s ə + r i ŋ	sher1261	1251	27.105018	92.272133	884	FALSE	284	LandB2017
1213	9_thebelly	the belly	BhutanTshangla	Tshangla	pʰo+laŋ	pʰo+laŋ	pʰ o + l a ŋ	tsha1245	1251	27.337241	91.551654	10241	FALSE	285	LandB2017
1044	12_thebird	the bird	BuluPuroik	BP	pə.duu	pə.duu	p ə + d uː	bulu1255	937	27.452241	92.44563	10146	FALSE	421	Lieberherr2017
1045	12_thebird	the bird	DikhyangBugun	Bugun S-D	fuə	fuə	f u/w ə	dikh1234	937	27.320666	92.455119	10267	FALSE	422	LandB2017
1046	12_thebird	the bird	Khispi	Khs.	w̥a	w̥a	w̥ a	lish1235	937	27.378042	92.223221	10267	FALSE	423	LandB2017
1047	12_thebird	the bird	Duhumbi	Duh.	w̥aˀ	w̥aˀ	w̥ aˀ	chug1252	937	27.416112	92.212034	10267	FALSE	424	LandB2017
1048	12_thebird	the bird	Khoina	Khn.	fuˀ	fuˀ	f uˀ	khoi1253	937	27.334981	92.52994	10267	FALSE	425	LandB2017
1049	12_thebird	the bird	Jerigaon	Jer.	huˀ	huˀ	h uˀ	jeri1243	937	27.340629	92.486595	10267	FALSE	426	LandB2017
1050	12_thebird	the bird	Khoitam	Kht.	huˀ	huˀ	h uˀ	khoi1252	937	27.327487	92.439455	10267	FALSE	427	LandB2017
1051	12_thebird	the bird	Rahung	Rah.	huˀ	huˀ	h uˀ	rahu1234	937	27.310778	92.395028	10267	FALSE	428	LandB2017
1052	12_thebird	the bird	Rupa	Rup.	huˀ	huˀ	h uˀ	rupa1234	937	27.203065	92.398757	10267	FALSE	429	LandB2017
1053	12_thebird	the bird	Shergaon	She.	huˀ	huˀ	h uˀ	sher1261	937	27.105018	92.272133	10267	FALSE	430	LandB2017
1054	12_thebird	the bird	BhutanTshangla	Tshangla	kʰa	kʰa	kʰ a	tsha1245	937	27.337241	91.551654	778	FALSE	431	LandB2017
815	15_theblood	the blood	BuluPuroik	BP	a.hui	a.hui	a + h u j	bulu1255	946	27.452241	92.44563	29703	FALSE	573	Lieberherr2017
816	15_theblood	the blood	DikhyangBugun	Bugun S-D	ə.fuɛ	ə.fuɛ	ə + f u/w ɛ	dikh1234	946	27.320666	92.455119	29703	FALSE	574	LandB2017
817	15_theblood	the blood	Khispi	Khs.	huj	huj	h u j	lish1235	946	27.378042	92.223221	29703	FALSE	575	LandB2017
818	15_theblood	the blood	Duhumbi	Duh.	hɔj	hɔj	h ɔ j	chug1252	946	27.416112	92.212034	29703	FALSE	576	LandB2017
819	15_theblood	the blood	Khoina	Khn.	xa	xa	x a	khoi1253	946	27.334981	92.52994	29703	FALSE	577	LandB2017
820	15_theblood	the blood	Jerigaon	Jer.	hɛ	hɛ	h ɛ	jeri1243	946	27.340629	92.486595	29703	FALSE	578	LandB2017
821	15_theblood	the blood	Khoitam	Kht.	hɛ	hɛ	h ɛ	khoi1252	946	27.327487	92.439455	29703	FALSE	579	LandB2017
822	15_theblood	the blood	Rahung	Rah.	hɛ	hɛ	h ɛ	rahu1234	946	27.310778	92.395028	29703	FALSE	580	LandB2017
823	15_theblood	the blood	Rupa	Rup.	ha	ha	h a	rupa1234	946	27.203065	92.398757	29703	FALSE	581	LandB2017
824	15_theblood	the blood	Shergaon	She.	ha	ha	h a	sher1261	946	27.105018	92.272133	29703	FALSE	582	LandB2017
825	15_theblood	the blood	BhutanTshangla	Tshangla	ji	ji	j i	tsha1245	946	27.337241	91.551654	29703	FALSE	583	LandB2017
1367	17_thebodyhairhairorfur	the body hair (hair or fur)	BuluPuroik	BP	a.mɨn	a.mɨn	a + m ɨ n	bulu1255	189	27.452241	92.44563	141	FALSE	659	Lieberherr2017
1368	17_thebodyhairhairorfur	the body hair (hair or fur)	DikhyangBugun	Bugun S-D	i.man	i.man	i + m a n	dikh1234	189	27.320666	92.455119	141	FALSE	660	LandB2017
1369	17_thebodyhairhairorfur	the body hair (hair or fur)	Khispi	Khs.	mul	mul	m u l	lish1235	189	27.378042	92.223221	141	FALSE	661	LandB2017
1370	17_thebodyhairhairorfur	the body hair (hair or fur)	Duhumbi	Duh.	pu	pu	p u	chug1252	189	27.416112	92.212034	141	TRUE	662	LandB2017
1371	17_thebodyhairhairorfur	the body hair (hair or fur)	Khoina	Khn.	a.miŋ	a.miŋ	a + m i ŋ	khoi1253	189	27.334981	92.52994	141	FALSE	663	LandB2017
1372	17_thebodyhairhairorfur	the body hair (hair or fur)	Jerigaon	Jer.	a.miŋ	a.miŋ	a + m i ŋ	jeri1243	189	27.340629	92.486595	141	FALSE	664	LandB2017
1373	17_thebodyhairhairorfur	the body hair (hair or fur)	Khoitam	Kht.	a.miŋ	a.miŋ	a + m i ŋ	khoi1252	189	27.327487	92.439455	141	FALSE	665	LandB2017
1374	17_thebodyhairhairorfur	the body hair (hair or fur)	Rahung	Rah.	a.miŋ	a.miŋ	a + m i ŋ	rahu1234	189	27.310778	92.395028	141	FALSE	666	LandB2017
1375	17_thebodyhairhairorfur	the body hair (hair or fur)	Rupa	Rup.	a.min	a.min	a + m i n	rupa1234	189	27.203065	92.398757	141	FALSE	667	LandB2017
1376	17_thebodyhairhairorfur	the body hair (hair or fur)	Shergaon	She.	a.min	a.min	a + m i n	sher1261	189	27.105018	92.272133	141	FALSE	668	LandB2017
1377	17_thebodyhairhairorfur	the body hair (hair or fur)	BhutanTshangla	Tshangla	pu	pu	p u	tsha1245	189	27.337241	91.551654	141	TRUE	669	LandB2017
260	18_thebone	the bone	BuluPuroik	BP	a.zɛ̃	a.zɛ̃	a + z ɛ̃	bulu1255	1394	27.452241	92.44563	112	FALSE	705	Lieberherr2017
261	18_thebone	the bone	DikhyangBugun	Bugun S-D	ə.zɛŋ	ə.zɛŋ	ə + z ɛ ŋ	dikh1234	1394	27.320666	92.455119	112	FALSE	706	LandB2017
262	18_thebone	the bone	Khispi	Khs.	ɕa.kʰus	ɕa.kʰus	ɕ a + kʰ u s	lish1235	1394	27.378042	92.223221	1716	FALSE	707	LandB2017
263	18_thebone	the bone	Duhumbi	Duh.	ɕa.kʰus	ɕa.kʰus	ɕ a + kʰ u s	chug1252	1394	27.416112	92.212034	1716	FALSE	708	LandB2017
264	18_thebone	the bone	Khoina	Khn.	a.xik	a.xik	a + x i k	khoi1253	1394	27.334981	92.52994	1716	FALSE	709	LandB2017
265	18_thebone	the bone	Jerigaon	Jer.	i.hik	i.hik	i + h i k	jeri1243	1394	27.340629	92.486595	1716	FALSE	710	LandB2017
266	18_thebone	the bone	Khoitam	Kht.	s.kik	s.kik	s + k i k	khoi1252	1394	27.327487	92.439455	1716	FALSE	711	LandB2017
267	18_thebone	the bone	Rahung	Rah.	s.kik	s.kik	s + k i k	rahu1234	1394	27.310778	92.395028	1716	FALSE	712	LandB2017
268	18_thebone	the bone	Rupa	Rup.	s.kik	s.kik	s + k i k	rupa1234	1394	27.203065	92.398757	1716	FALSE	713	LandB2017
269	18_thebone	the bone	Shergaon	She.	s.kit	s.kit	s + k i t	sher1261	1394	27.105018	92.272133	1716	FALSE	714	LandB2017
270	18_thebone	the bone	BhutanTshangla	Tshangla	kʰaŋ	kʰaŋ	kʰ a ŋ	tsha1245	1394	27.337241	91.551654	169	FALSE	715	LandB2017
1700	19_thebranch	the branch	BuluPuroik	BP	a.kjɛɛ	a.kjɛɛ	a + k j ɛː	bulu1255	1531	27.452241	92.44563	87	FALSE	755	Lieberherr2017
1701	19_thebranch	the branch	DikhyangBugun	Bugun S-D	ə.pʰɔŋ	ə.pʰɔŋ	ə + pʰ ɔ ŋ	dikh1234	1531	27.320666	92.455119	2062	FALSE	756	LandB2017
1702	19_thebranch	the branch	Khispi	Khs.	a.lak	a.lak	a + l a k	lish1235	1531	27.378042	92.223221	1479	TRUE	757	LandB2017
1703	19_thebranch	the branch	Duhumbi	Duh.	a.lak	a.lak	a + l a k	chug1252	1531	27.416112	92.212034	1479	TRUE	758	LandB2017
1704	19_thebranch	the branch	Khoina	Khn.	a.pʰaŋ	a.pʰaŋ	a + pʰ a ŋ	khoi1253	1531	27.334981	92.52994	2062	FALSE	759	LandB2017
1705	19_thebranch	the branch	Jerigaon	Jer.	a.pʰaŋ	a.pʰaŋ	a + pʰ a ŋ	jeri1243	1531	27.340629	92.486595	2062	FALSE	760	LandB2017
1706	19_thebranch	the branch	Khoitam	Kht.	a.pʰaŋ	a.pʰaŋ	a + pʰ a ŋ	khoi1252	1531	27.327487	92.439455	2062	FALSE	761	LandB2017
1707	19_thebranch	the branch	Rahung	Rah.	a.pʰaŋ	a.pʰaŋ	a + pʰ a ŋ	rahu1234	1531	27.310778	92.395028	2062	FALSE	762	LandB2017
1708	19_thebranch	the branch	Rupa	Rup.	a.pʰaŋ	a.pʰaŋ	a + pʰ a ŋ	rupa1234	1531	27.203065	92.398757	2062	FALSE	763	LandB2017
1709	19_thebranch	the branch	Shergaon	She.	a.pʰaŋ	a.pʰaŋ	a + pʰ a ŋ	sher1261	1531	27.105018	92.272133	2062	FALSE	764	LandB2017
1710	19_thebranch	the branch	BhutanTshangla	Tshangla	da+ka	da+ka	d a + k a	tsha1245	1531	27.337241	91.551654	284	FALSE	765	LandB2017
1225	20_thebreastfemale	the breast (female)	BuluPuroik	BP	a.njɛɛ	a.njɛɛ	a + n j ɛː	bulu1255	1402	27.452241	92.44563	10186	FALSE	801	Lieberherr2017
1226	20_thebreastfemale	the breast (female)	DikhyangBugun	Bugun S-D	ɲeo	ɲeo	ɲ eo	dikh1234	1402	27.320666	92.455119	10186	FALSE	802	LandB2017
1227	20_thebreastfemale	the breast (female)	Khispi	Khs.	nu	nu	n u	lish1235	1402	27.378042	92.223221	10186	TRUE	803	LandB2017
1228	20_thebreastfemale	the breast (female)	Duhumbi	Duh.	nu	nu	n u	chug1252	1402	27.416112	92.212034	10186	TRUE	804	LandB2017
1229	20_thebreastfemale	the breast (female)	Khoina	Khn.	nyŋ	nyŋ	n y ŋ	khoi1253	1402	27.334981	92.52994	10148	FALSE	805	LandB2017
1230	20_thebreastfemale	the breast (female)	Jerigaon	Jer.	nyŋ	nyŋ	n y ŋ	jeri1243	1402	27.340629	92.486595	10148	FALSE	806	LandB2017
1231	20_thebreastfemale	the breast (female)	Khoitam	Kht.	nyŋ	nyŋ	n y ŋ	khoi1252	1402	27.327487	92.439455	10148	FALSE	807	LandB2017
1232	20_thebreastfemale	the breast (female)	Rahung	Rah.	nyŋ	nyŋ	n y ŋ	rahu1234	1402	27.310778	92.395028	10148	FALSE	808	LandB2017
1233	20_thebreastfemale	the breast (female)	Rupa	Rup.	ɲyŋ	ɲyŋ	ɲ y ŋ	rupa1234	1402	27.203065	92.398757	10148	FALSE	809	LandB2017
1234	20_thebreastfemale	the breast (female)	Shergaon	She.	ɲuŋ	ɲuŋ	ɲ u ŋ	sher1261	1402	27.105018	92.272133	10148	FALSE	810	LandB2017
1235	20_thebreastfemale	the breast (female)	BhutanTshangla	Tshangla	nu	nu	n u	tsha1245	1402	27.337241	91.551654	10186	FALSE	811	LandB2017
1247	24_thechildyounghuman	the child (young human)	BuluPuroik	BP	a.dəə	a.dəə	a + d əː	bulu1255	1304	27.452241	92.44563	5483	FALSE	991	Lieberherr2017
1248	24_thechildyounghuman	the child (young human)	DikhyangBugun	Bugun S-D	a.ny	a.ny	a + n y	dikh1234	1304	27.320666	92.455119	890	FALSE	992	LandB2017
1249	24_thechildyounghuman	the child (young human)	Khispi	Khs.	ɕa.la	ɕa.la	ɕ a + l a	lish1235	1304	27.378042	92.223221	886	FALSE	993	LandB2017
1250	24_thechildyounghuman	the child (young human)	Duhumbi	Duh.	a.nu	a.nu	a + n u	chug1252	1304	27.416112	92.212034	890	FALSE	994	LandB2017
1251	24_thechildyounghuman	the child (young human)	Khoina	Khn.	a.ny	a.ny	a + n y	khoi1253	1304	27.334981	92.52994	890	FALSE	995	LandB2017
1252	24_thechildyounghuman	the child (young human)	Jerigaon	Jer.	a.ny	a.ny	a + n y	jeri1243	1304	27.340629	92.486595	890	FALSE	996	LandB2017
1253	24_thechildyounghuman	the child (young human)	Khoitam	Kht.	a.ny	a.ny	a + n y	khoi1252	1304	27.327487	92.439455	890	FALSE	997	LandB2017
1254	24_thechildyounghuman	the child (young human)	Rahung	Rah.	a.ny	a.ny	a + n y	rahu1234	1304	27.310778	92.395028	890	FALSE	998	LandB2017
1255	24_thechildyounghuman	the child (young human)	Rupa	Rup.	nə.ny	nə.ny	n ə + n y	rupa1234	1304	27.203065	92.398757	890	FALSE	999	LandB2017
1256	24_thechildyounghuman	the child (young human)	Shergaon	She.	nə.nu	nə.nu	n ə + n u	sher1261	1304	27.105018	92.272133	890	FALSE	1000	LandB2017
1257	24_thechildyounghuman	the child (young human)	BhutanTshangla	Tshangla	wak+ʦa	wak+ʦa	w a k + ts a	tsha1245	1304	27.337241	91.551654	8108	FALSE	1001	LandB2017
1711	25_thecloud	the cloud	BuluPuroik	BP	sə.tɨɨ	sə.tɨɨ	s ə + t ɨː	bulu1255	1489	27.452241	92.44563	927	FALSE	1033	Lieberherr2017
1712	25_thecloud	the cloud	DikhyangBugun	Bugun S-D	sə.kʰa.maw	sə.kʰa.maw	s ə + kʰ a + m au	dikh1234	1489	27.320666	92.455119	89	FALSE	1034	LandB2017
1713	25_thecloud	the cloud	Khispi	Khs.	tɔŋ.ti	tɔŋ.ti	t ɔ ŋ + t i	lish1235	1489	27.378042	92.223221	927	FALSE	1035	LandB2017
