RID	CONCEPT	GLOSS_IN_SAGART	CONCEPTICON_GLOSS	PARAMETER_ID	CONCEPTICON_ID	LANGUAGE	FORM	IPA	SEGMENT	SOURCE	PAGE	CONCEPT_IN_SOURCE	NOTE	LOAN
208	learn v.	to learn	LEARN	113_tolearn	504	Eastern Puroik	migab hingab na	migap hingap	mi+gap+hin+gap	RS09	25	learn v.		
209	lie	to lie down	LIE DOWN	116_toliedown	215	Eastern Puroik	raipuwa	raipuwa	rai+pu+wa	AT90	44	lie		
210	lip n.	the lip (the lips)	LIP	118_thelipthelips	478	Eastern Puroik	kheche	kʰətʃʰə	kʰə+tʃʰə	RS09	26	lip n.		
211	marry v.	to marry (a man marries a woman)	MARRY (AS MAN)	125_tomarryamanmarriesawoman	2164	Eastern Puroik	amui urue’ na	amui urue	a+mui+u+rue	RS09	27	marry v.		
212	mosquito	the mosquito	MOSQUITO	130_themosquito	1509	Eastern Puroik	chungkya	tʃʰuŋkja	tʃʰuŋ+kja	AT90	24	mosquito		
213	mother voc.	the mother	MOTHER	131_themother	1216	Eastern Puroik	ama	ama	a+ma	RS09	28	mother voc.	n.?	
214	narrow adj.	narrow	NARROW	138_narrow	1267	Eastern Puroik	akhehing	akʰəhiŋ	a+kʰə+hiŋ	RS09	29	narrow adj.		
215	the nit	the nit	NIT	144_thenit	267	Eastern Puroik							?	
216	mid day n.	noon	MIDDAY	145_noon	12	Eastern Puroik	arilo	arilo	a+ri+lo	RS09	27	mid day n.		
217	old adj.	old (of person)	OLD (AGED)	147_oldofperson	2112	Eastern Puroik	amaing	amaiŋ	a+maiŋ	RS09	31	old adj.		
218	the otter	the otter	OTTER	149_theotter	15	Eastern Puroik							?	
219	plant	to plant (vegetals, rice)	PLANT (SOMETHING)	152_toplantvegetalsrice	1486	Eastern Puroik	deina	dei	dei	AT90	45	plant		
220	pull v.	to pull	PULL	154_topull	1455	Eastern Puroik	biaik na, ruye’ na	biaik	biaik	RS09	35	pull v.		
221	rainbow n.	he rainbow	RAINBOW	157_therainbow	1733	Eastern Puroik	khelain	kʰəlain	kʰə+lain	RS09	35	rainbow n.		
222	rice n.	the rice plant	RICE PLANT	160_thericeplant	2026	Eastern Puroik	amang	amaŋ	a+maŋ	RS09	37	rice n.	paddy	
223	river n.	the river	RIVER	162_theriver	666	Eastern Puroik	kuamoa, kuapi	kuapi	kua+pi	RS09	38	river n.		
224	run	to run	RUN	167_torun	1519	Eastern Puroik	phena	pʰe	pʰe	AT90	46	run		
225	salty	salty	SALTY	169_salty	1091	Eastern Puroik							?	
226	sea n.	the sea	SEA	172_thesea	1474	Eastern Puroik	sa nyiak kua	sa ɲiak kua	sa+ɲiak+kua	RS09	38	sea n.		
227	sheep n.	the sheep	SHEEP	177_thesheep	1331	Eastern Puroik	saya sebing	saja səbiŋ	sa+ja+sə+biŋ	RS09	39	sheep n.		
228	shy adj.	shy	SHY	181_shy	487	Eastern Puroik	araye’ na	araje	a+ra+je	RS09	39	shy adj.		
229	the sickle	the sickle	SICKLE	182_thesickle	341	Eastern Puroik							?	
230	smooth adj. 	smooth	SMOOTH	191_smooth	1234	Eastern Puroik	anyiing	aɲiːŋ	a+ɲiːŋ	RS09	40	smooth adj. 		
231	sparrow n.	the sparrow	SPARROW	196_thesparrow	1854	Eastern Puroik	pedang pedau	pədaŋ pədau	pə+daŋ+pə+dau	RS09	40	sparrow n.		
232	that pron. det.	that	THAT	208_that	78	Eastern Puroik	je, wa	dʒə	dʒə	RS09	42	that pron. det.		
233	there adv.	there	THERE	209_there	1937	Eastern Puroik	bhuu, wa	buː	buː	RS09	42	there adv.		
234	this pron. adj.	this	THIS	214_this	1214	Eastern Puroik	hang je’	haŋ dʒe	haŋ+dʒe	RS09	42	this pron. adj.		
235	tiger n.	the tiger	TIGER	219_thetiger	846	Eastern Puroik	paate	paːtə	paː+tə	RS09	42	tiger n.		
236	today v.	today	TODAY	220_today	1283	Eastern Puroik	heriu ri	heriu ri	hə+riu+ri	RS09	43	today v.	adv.?	
237	tomorrow adv.	tomorrow	TOMORROW	221_tomorrow	1329	Eastern Puroik	piyapiyae’	pijapijae	pi+ja+pi+jae	RS09	43	tomorrow adv.		
238	tree n.	the tree	TREE	224_thetree	906	Eastern Puroik	hiyin moa	hijin moa	hi+jin+moa	RS09	43	tree n.		
239	twenty cardinal no.	twenty	TWENTY	225_twenty	1710	Eastern Puroik	suait nyi	suait ɲi	suait+ɲi	RS09	43	twenty cardinal no.		
240	we pers. pron.	we [first person plural inclusive]	WE (INCLUSIVE)	230_wefirstpersonpluralinclusive	1131	Eastern Puroik	gerai	gərai	gə+rai	RS09	44	we pers. pron.		
241	what interrog. det.	what	WHAT	232_what	1236	Eastern Puroik	hi, hibo	hi	hi	RS09	45	what interrog. det.		
242	wheat n.	the wheat	WHEAT	233_thewheat	1077	Eastern Puroik	ata	ata	a+ta	RS09	45	wheat n.	IA loan	TRUE
243	where interrog adv.	where	WHERE	234_where	1237	Eastern Puroik	kaila, kerua	kaila	kai+la	RS09	45	where interrog adv.		
244	wife n.	the wife	WIFE	237_thewife	1199	Eastern Puroik	ajau	adʒau	a+dʒau	RS09	45	wife n.		
245	wolf n.	the wolf	WOLF	241_thewolf	522	Eastern Puroik	sechuang	sətʃʰuaŋ	sə+tʃʰuaŋ	RS09	45	wolf n.	cf. fox	
246	wood n.	the wood (material)	WOOD	243_thewoodmaterial	1803	Eastern Puroik	sangtak	saŋtak	saŋ+tak	RS09	45	wood n.		
247	sow v.	to sow (broadcase, scatter,seeds)	SOW SEEDS	244_tosowbroadcastscatterseeds	748	Eastern Puroik	pook na	pook	pɔk	RS09	40	sow v.		
248	yesterday adv.	yesterday	YESTERDAY	247_yesterday	1174	Eastern Puroik	biari	biari	bia+ri	RS09	46	yesterday adv.		
249	you (plural)	you [second person plural]	YOU	248_yousecondpersonplural	1213	Eastern Puroik	narai	narai	na+rai	AT90	33	you (plural)		
250	young adj. 	young	YOUNG	249_young	1207	Eastern Puroik	sikcha bae’	siktʃʰa bae	sik+tʃʰa+bae	RS09	46	young adj. 		
