ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	COGID	LOAN	NOTES	RID
208	229_thewater	the water	KusundaK	Kamala	t̪ɐŋ	t̪ɐŋ	t̪ ɐ ŋ	kusu1250	948	28.0	82.26		202	False		9521
212	233_thewheat	the wheat	KusundaK	Kamala	kʰɔ.ru.guj	kʰɔ.ru.guj	kʰ ɔ + r u + g u j	kusu1250	1077	28.0	82.26		1174	False		9703
216	237_thewife	the wife	KusundaK	Kamala	nʲɛː.ɐ.d̪iː	nʲɛː.ɐ.d̪iː	n j ɛː + ɐ + d̪ iː	kusu1250	1199	28.0	82.26		1177	False		9881
217	238_thewind	the wind	KusundaK	Kamala	qɐj	qɐj	q ɐ j	kusu1250	960	28.0	82.26		208	False		9928
218	239_thewing	the wing	KusundaK	Kamala	ɐ.ɦun	ɐ.ɦun	ɐ + ɦ u n	kusu1250	1257	28.0	82.26		1189	False		9979
220	242_thewoman	the woman	KusundaK	Kamala	nʲɛː.d̪i.ʤiː	nʲɛː.d̪i.ʤiː	n j ɛː + d̪ i + dʒ iː	kusu1250	962	28.0	82.26		1191	False		10075
221	243_thewoodmaterial	the wood (material)	KusundaK	Kamala	d̪əj.ʤiː	d̪əj.ʤiː	d̪ ə j + dʒ iː	kusu1250	1803	28.0	82.26		1205	False		10127
222	245_theyear	the year	KusundaK	Kamala	bɐr.saː	bɐr.saː	b ɐ r + s aː	kusu1250	1226	28.0	82.26		448	True		10204
190	209_there	there	KusundaK	Kamala	ɐ.pʲɛː	ɐ.pʲɛː	ɐ + p j ɛː	kusu1250	1937	28.0	82.26			False		
191	210_thick	thick	KusundaK	Kamala	gʰəj.niː	gʰəj.niː	gʰ ə j + n iː	kusu1250	1244	28.0	82.26		452	False		8656
193	212_thinobject	thin (object)	KusundaK	Kamala	kʲɛŋ	kʲɛŋ	k j ɛ ŋ	kusu1250	2249	28.0	82.26		464	False		8750
195	214_this	this	KusundaK	Kamala	naː	naː	n aː	kusu1250	1214	28.0	82.26		471	False		8848
196	215_thousecondpersonsingular	thou [second person singular]	KusundaK	Kamala	nuː	nuː	n uː	kusu1250	1215	28.0	82.26		10475	False		8892
197	216_three	three	KusundaK	Kamala	d̪aː	d̪aː	d̪ aː	kusu1250	492	28.0	82.26		472	False		8941
8	8_tobealive	to be alive	KusundaK	Kamala	ə.giː ɐ.gɔː	ə.giː+ɐ.gɔː	ə + g iː + ɐ + g ɔː	kusu1250	1422	28.0	82.26			False		
13	13_tobite	to bite	KusundaK	Kamala	kʰɐm.t̪ɔː	kʰɐm.t̪ɔː	kʰ ɐ m + t̪ ɔː	kusu1250	1403	28.0	82.26		476	False		481
16	16_toblowofwind	to blow (of wind)	KusundaK	Kamala	qɐj	qɐj	q ɐ j	kusu1250	175	28.0	82.26		482	False		630
21	21_toburnintransitive	to burn [intransitive]	KusundaK	Kamala	hũː.nu	hũː.nu	h ũː + n u	kusu1250	1428	28.0	82.26		1563	False		861
22	22_tobuy	to buy	KusundaK	Kamala	ʤɐk ɐ.gɔː	ʤɐk+ɐ.gɔː	dʒ ɐ k + ɐ + g ɔː	kusu1250	1869	28.0	82.26		490	False		909
