ENTRYID	form	gloss	CONCEPTICON_GLOSS	CONCEPTICON_ID	gfn	language	source	srcid	note
201326	dʑɑ³¹ mɑ⁵⁵	spade			592	Deng	ZMYYC		
229325	dʑɑ³¹ mɑ⁵⁵ mo⁵³	catty=500 grams			592	Deng	ZMYYC		
194288	dʑɑ̆l³⁵	saliva / spittle			592	Deng	ZMYYC		
212036	giol⁵³	deep-fry			592	Deng	ZMYYC		
216524	giop⁵⁵	cheat / swindle			592	Deng	ZMYYC		
224633	giop⁵⁵	FALSE			592	Deng	ZMYYC		
181232	giuŋ⁵³	ditch			592	Deng	ZMYYC		
212240	giɯl⁵⁵	warm (oneself) near fire			592	Deng	ZMYYC		
193625	giɑn³⁵	sinew			592	Deng	ZMYYC		
191381	gli⁵³ sɑŋ³⁵	stem / stalk			592	Deng	ZMYYC		
202244	gloŋ³⁵	mortar			592	Deng	ZMYYC		
200561	glɯi⁵³ tɯ³¹ lɑ̆m⁵⁵	noodles			592	Deng	ZMYYC		
199949	glɑi⁵³ wɑi³⁵	flour			592	Deng	ZMYYC		
193166	glɑ̆u⁵³	back (of body)			592	Deng	ZMYYC		
182660	glɑ̆u⁵³	back (direction)			592	Deng	ZMYYC		
187301	glɑ̆ŋ⁵³	eagle			592	Deng	ZMYYC		
199184	gul⁵⁵	clothes			592	Deng	ZMYYC		
212954	gul⁵⁵; ŋkhlɑp⁵⁵	put on / wear			592	Deng	ZMYYC		
198674	gu³⁵ ɹɑ⁵⁵	vegetable garden			592	Deng	ZMYYC		
202448	guɯt⁵³⁵	broom			592	Deng	ZMYYC		
181436	guɑt³⁵	ground			592	Deng	ZMYYC		
181487	guɑt⁵³	plain			592	Deng	ZMYYC		
190718	gu⁵⁵ ɕɑ⁵⁵	garlic			592	Deng	ZMYYC		
198827	gɯm⁵⁵ sɑ⁵⁵	scarf for the head / turban			592	Deng	ZMYYC		
185822	gɯ³¹rɯu⁵⁵	donkey			592	Deng	ZMYYC		
217799	gɑl⁵⁵	cross (river)			592	Deng	ZMYYC		
192707	gɑ³¹ dɯŋ³⁵	throat			592	Deng	ZMYYC		
204386	gɑ³¹ ɹi⁵⁵	vehicle			592	Deng	ZMYYC		
204488	gɑ³¹ ɹi⁵⁵	car			592	Deng	ZMYYC		
204284	gɑ³¹ ɹi⁵⁵ bloŋ³⁵	highway			592	Deng	ZMYYC		
201785	gɑŋ³⁵	bow (weapon)			592	Deng	ZMYYC		
203315	gɑ̆m³⁵	trunk / box			592	Deng	ZMYYC		
188576	gɑ⁵⁵ klɑuŋ⁵⁵	maggot			592	Deng	ZMYYC		
215045	gɑ⁵⁵ wɑp⁵⁵ tɑp⁵⁵ gɯn⁵⁵	surround			592	Deng	ZMYYC		
193115	gɹoŋ³⁵	chest			592	Deng	ZMYYC		
213872	gɹoŋ⁵³	tie (e.g. firewood)into a bund			592	Deng	ZMYYC		
214127	in⁵⁵	pick / select			592	Deng	ZMYYC		
192299	iŋ⁵⁵	ear			592	Deng	ZMYYC		
198980	iŋ⁵⁵ sɑn⁵⁵	earring			592	Deng	ZMYYC		
219737	joi⁵⁵ lɑ⁵⁵	drunk			592	Deng	ZMYYC		
201734	jum⁵³	gunpowder			592	Deng	ZMYYC		
196685	jɯu⁵³; jɯp³⁵	uncle (maternal)			592	Deng	ZMYYC		
189290	jɑm⁵⁵ sɑ̆ŋ³⁵	willow			592	Deng	ZMYYC		
213770	jɑt³⁵ kɑ⁵⁵	untie			592	Deng	ZMYYC		
228917	jɑ⁵³¹ mo⁵⁵	fathom=6 feet			592	Deng	ZMYYC		
230447	jɑ⁵⁵ sɑŋ³⁵ mu⁵³	how many / much			592	Deng	ZMYYC		
181895	khiɑu⁵³	copper			592	Deng	ZMYYC		
209537	khiɑŋ⁵³	lean			592	Deng	ZMYYC		
196073	khi⁵⁵	Chinese			592	Deng	ZMYYC		
229223	khi⁵⁵	dry measure / peck / =10 shēng			592	Deng	ZMYYC		
206069	khi⁵⁵ lɑi⁵⁵	language			592	Deng	ZMYYC		
225347	khɑ⁵³	bitter			592	Deng	ZMYYC		
212648	khɹit⁵⁵	sharpen			592	Deng	ZMYYC		
212699	khɹit⁵⁵	grind			592	Deng	ZMYYC		
224684	khɹum⁵⁵	expensive			592	Deng	ZMYYC		
212495	khɹut⁵⁵	prick			592	Deng	ZMYYC		
215606	khɹɑi⁵⁵ nɑi⁵⁵	tell			592	Deng	ZMYYC		
204794	khɹɑm⁵⁵	price			592	Deng	ZMYYC		
212750	khɹɑt⁵⁵	winnow			592	Deng	ZMYYC		
194237	khɹɑ⁵³	phlegm			592	Deng	ZMYYC		
229529	kin⁵⁵	we			592	Deng	ZMYYC		
222134	kin⁵⁵ dɑk⁵⁵	steep			592	Deng	ZMYYC		
226214	kioŋ⁵⁵	diligent			592	Deng	ZMYYC		
201479	kit³⁵	thread			592	Deng	ZMYYC		
227336	kiɑp⁵⁵ mu⁵³ gɹɯn⁵⁵	eighteen			592	Deng	ZMYYC		
227132	kiɑp⁵⁵ mu⁵³ kɯ³¹ bɹɯn⁵³	fourteen			592	Deng	ZMYYC		
227030	kiɑp⁵⁵ mu⁵³ kɯ³¹ jin⁵³	twelve			592	Deng	ZMYYC		
227183	kiɑp⁵⁵ mu⁵³ kɯ³¹ len⁵⁵	fifteen			592	Deng	ZMYYC		
226979	kiɑp⁵⁵ mu⁵³ kɯ³¹ mu⁵³	eleven			592	Deng	ZMYYC		
227081	kiɑp⁵⁵ mu⁵³ kɯ³¹ sɑ̆m⁵³	thirteen			592	Deng	ZMYYC		
227285	kiɑp⁵⁵ mu⁵³ nɯn⁵³	seventeen			592	Deng	ZMYYC		
227387	kiɑp⁵⁵ mu⁵³ nɑn⁵⁵ mu⁵³	nineteen			592	Deng	ZMYYC		
227234	kiɑp⁵⁵ mɑ⁵³ kɯ³¹ tɑɯ⁵³	sixteen			592	Deng	ZMYYC		
188627	klɑuŋ⁵⁵	insect / worm			592	Deng	ZMYYC		
223970	klɑ⁵⁵	fast			592	Deng	ZMYYC		
230804	klɑ⁵⁵ mu³¹	fast (adv.)			592	Deng	ZMYYC		
195971	ko⁵⁵ tsɑ⁵³ ɹɑɯ⁵⁵	student			592	Deng	ZMYYC		
186383	kum⁵⁵	bear			592	Deng	ZMYYC		
196175	kuŋ³⁵	grandfather			592	Deng	ZMYYC		
224735	kuŋ⁵⁵ kɯ³¹ nɑ̆m⁵⁵	cheap			592	Deng	ZMYYC		
190310	kuɑ⁵⁵	melon			592	Deng	ZMYYC		
189239	ku⁵⁵ ɕu⁵⁵ sɑ̆ŋ³⁵	fir			592	Deng	ZMYYC		
224582	kɯm⁵⁵ do⁵³	TRUE			592	Deng	ZMYYC		
191024	kɯn³¹ thɑp⁵⁵ si⁵³	grape			592	Deng	ZMYYC		
224276	kɯn⁵⁵ dzɑm⁵³	raw			592	Deng	ZMYYC		
229376	kɯu³⁵	monetary unit / dollar			592	Deng	ZMYYC		
216677	kɯ³¹ biɑt⁵⁵	love			592	Deng	ZMYYC		
190157	kɯ³¹ bɑt⁵⁵	cotton			592	Deng	ZMYYC		
207038	kɯ³¹ bɑ̆ŋ⁵⁵	close (eye)			592	Deng	ZMYYC		
198317	kɯ³¹ de³⁵	board / plank			592	Deng	ZMYYC		
223307	kɯ³¹ diɑŋ⁵⁵	fat (of people)			592	Deng	ZMYYC		
224939	kɯ³¹ dɑŋ³⁵	tight			592	Deng	ZMYYC		
221114	kɯ³¹ dʑol³⁵	pointed			592	Deng	ZMYYC		
222236	kɯ³¹ giɑi⁵³	slanting, not upright			592	Deng	ZMYYC		
224888	kɯ³¹ glol³⁵	loose / lax			592	Deng	ZMYYC		
227795	kɯ³¹ gɹɯn⁵³ mu⁵³	eighty			592	Deng	ZMYYC		
221420	kɯ³¹ juŋ⁵⁵	thin (slender)			592	Deng	ZMYYC		
226367	kɯ³¹ kɹɑi⁵³	poor			592	Deng	ZMYYC		
198062	kɯ³¹ lep⁵⁵ mphun⁵³	window			592	Deng	ZMYYC		
228611	kɯ³¹ mo⁵³	classifier for long objects			592	Deng	ZMYYC		
197399	kɯ³¹ mun³⁵	daughter-in-law			592	Deng	ZMYYC		
196124	kɯ³¹ mɑn⁵³	autonym			592	Deng	ZMYYC		
225194	kɯ³¹ ntshiŋ³⁵	cool			592	Deng	ZMYYC		
