RID	concept	doculect	value	form	source
866	far	Hruso	"ʔəxə; əra (SA)"	"ʔəxə; əra (SA)"	
867	fat (n)	Hruso	ʔə̆bi	ʔəbi	
868	fear	Hruso	rije (SA)	rije (SA)	
869	few	Hruso	meʔ 	meʔ 	
870	fight	Hruso	tʰo-ri (SA)	tʰoØri (SA)	
871	finger	Hruso	"ʔĕdʒətʃə; eg͡zət͡sə (SA)"	"ʔedʒətʃə; egzətsə (SA)"	
872	fire	Hruso	mi	mi	
873	fireplace	Hruso	hukʰije (SA)	hukʰije (SA)	
874	fish	Hruso	"tʃʰe; t͡ʃʰi (SA)"	"tʃʰe; tʃʰi (SA)"	
875	five	Hruso	"pom; pum (SA)"	"pom; pum (SA)"	
876	flow	Hruso	-	Ø	
877	flower	Hruso	ʃoba	ʃoba	
878	friend	Hruso	"ʔodʒo; d͡ʒɛ (SA)"	"ʔodʒo; dʒɛ (SA)"	
879	frog	Hruso	"ʃedʒa; ʃəza (SA)"	"ʃedʒa; ʃəza (SA)"	
880	fruit	Hruso	ʃə̆dʒe	ʃədʒe	
881	four	Hruso	"psə̌xi; pʰiri (SA)"	"psəxi; pʰiri (SA)"	
882	full	Hruso	gu	gu	
883	garlic, onion	Hruso	sukum (SA)	sukum (SA)	
884	give	Hruso	dʒidʒo	dʒidʒo	
885	goat	Hruso	"kʰəʃə; kʰisi (SA)"	"kʰəʃə; kʰisi (SA)"	
886	grandfather	Hruso	-	Ø	
887	grandmother	Hruso	-	Ø	
888	grass	Hruso	bije ~ t͡sə ~ suso (SA)	bije ~ tsə ~ suso (SA)	
889	grind, crush	Hruso	ri (SA)	ri (SA)	
890	guts	Hruso	-	Ø	
891	hair	Hruso	"ʔeketʃe; ikʰijet͡ʃʰi (SA)"	"ʔeketʃe; ikʰijetʃʰi (SA)"	
892	hard	Hruso	"goɣou (AA); gorou"	"goɣou (AA); gorou"	
893	hammer	Hruso	martăl	martal	
894	hand, arm	Hruso	"ʔagdʒə; eg͡zə (SA)"	"ʔagdʒə; egzə (SA)"	
895	"have; exist"	Hruso	du (SA)	du (SA)	
896	head	Hruso	ʔekʰje	ʔekʰje	
897	heart	Hruso	ʔə̆lə̆biu	ʔələbiu	
898	heavy	Hruso	"ju; liu (SA)"	"ju; liu (SA)"	
899	horn	Hruso	"ʔəʃəbdʒa; səb͡zə (SA)"	"ʔəʃəbdʒa; səbzə (SA)"	
900	horse	Hruso	fugra (SA)	fugra (SA)	
901	house	Hruso	ɲe	ɲe	
902	how many	Hruso	kʰəɲa  	kʰəɲa  	
903	human	Hruso	nə̆na	nəna	
904	hundred	Hruso	"ɸoxa; pʰuɣu (SA)"	"ɸoxa; pʰuɣu (SA)"	
905	ill	Hruso	na (SA)	na (SA)	
906	insect	Hruso	"bŭlːu; bilu (SA)"	"bulːu; bilu (SA)"	
907	iron	Hruso	sə (SA)	sə (SA)	
908	itch	Hruso	səd͡zu (SA)	sədzu (SA)	
909	kick	Hruso	"gədrə; gəd͡ʒu (SA)"	"gədrə; gədʒu (SA)"	
910	kill	Hruso	gə (SA)	gə (SA)	
911	knife	Hruso	"betʃasa; vet͡sə (SA)"	"betʃasa; vetsə (SA)"	
912	know	Hruso	"d̪aŋxudʒo; hosə (SA)"	"daŋxudʒo; hosə (SA)"	
913	laugh	Hruso	"tʃʰəjo; t͡ʃi (SA)"	"tʃʰəjo; tʃi (SA)"	
914	leaf	Hruso	"ʔə̆xe; ʃere (SA)"	"ʔəxe; ʃere (SA)"	
915	leech	Hruso	-	Ø	
916	leg	Hruso	əʃi ləbu (SA)	əʃi ləbu (SA)	
917	lick	Hruso	-	Ø	
918	lift	Hruso	lo (SA)	lo (SA)	
919	light	Hruso	"lə̆to; lutʰou (SA)"	"ləto; lutʰou (SA)"	
920	liquor	Hruso	"tʃə; t͡si (SA)"	"tʃə; tsi (SA)"	
921	listen, hear	Hruso	"dʒədʒo; d͡zəxu (SA)"	"dʒədʒo; dzəxu (SA)"	
922	live, grow up	Hruso	əʃə (SA)	əʃə (SA)	
923	liver/lungs	Hruso	ě-djǔ (AS)	eØdju (AS)	
924	long	Hruso	"pʃu; psiu (SA)"	"pʃu; psiu (SA)"	
925	look, see	Hruso	hodʒo	hodʒo	
926	louse	Hruso	ʃə (SA)	ʃə (SA)	
927	"make; do"	Hruso	d̪adʒo	dadʒo	
928	man (male)	Hruso	"mə̆hu; muxu nəna (SA)"	"məhu; muxu nəna (SA)"	
929	meat	Hruso	"ɸu; t͡sə, sə (SA)"	"ɸu; tsə, sə (SA)"	
930	medicine	Hruso	d̪oxa	doxa	
931	melt	Hruso	-	Ø	
932	month	Hruso	kʰobe	kʰobe	
933	moon	Hruso	"hŏbe; hubje (SA)"	"hobe; hubje (SA)"	
934	mountain	Hruso	"pʰu; pʰudeu (SA)"	"pʰu; pʰudeu (SA)"	
935	"mouth; language"	Hruso	"ʔə̆nzu; und͡zu (SA)"	"ʔənzu; undzu (SA)"	
936	mortar	Hruso	rulu (SA)	rulu (SA)	
937	mother	Hruso	aɲi	aɲi	
938	name	Hruso	"ʔəɲəɲə; ʔaɲiɲi (SA)"	"ʔəɲəɲə; ʔaɲiɲi (SA)"	
939	near	Hruso	ʔəɲisə	ʔəɲisə	
940	neg. imp.	Hruso	d͡ʒu- (SA)	dʒuØ (SA)	
941	new	Hruso	"ʔə̆kə̆n; əkʰən (SA)"	"ʔəkən; əkʰən (SA)"	
942	night	Hruso	ɲegi	ɲegi	
943	nine	Hruso	"st̪ə; stʰə (SA)"	"st̪ə; stʰə (SA)"	
944	nose	Hruso	"ʔuʃə; (un/nu) su (SA)"	"ʔuʃə; (un/nu) su (SA)"	
945	old	Hruso	"ʔə̆me;  emije (SA)"	"ʔəme;  emije (SA)"	
946	one	Hruso	ʔa	ʔa	
947	otter	Hruso	size (SA)	size (SA)	
948	paddy rice	Hruso	ʔo	ʔo	
949	penis	Hruso	-	Ø	
950	pestle	Hruso	-	Ø	
951	pig	Hruso	"ʋo; vo (SA)"	"ʋo; vo (SA)"	
952	pillow	Hruso	dĭkʃo	dikʃo	
953	pull	Hruso	byjo	byjo	
954	put	Hruso	-	Ø	
955	rain	Hruso	"jedʒăʃə; ɲed͡zəʃi (SA)"	"jedʒaʃə; ɲedzəʃi (SA)"	
956	red	Hruso	tʃu	tʃu	
957	revenge	Hruso	-	Ø	
958	ring	Hruso	(gzət͡sə/dʒə̆tʃe) lje	(gzətsə/dʒətʃe) lje	
959	river	Hruso	"kʰu; xudɛu (SA)"	"kʰu; xudɛu (SA)"	
960	road	Hruso	"xabo; rabo (SA)"	"xabo; rabo (SA)"	
961	root	Hruso	"ʔə̆kʃe; əkʰrə (SA)"	"ʔəkʃe; əkʰrə (SA)"	
962	round	Hruso	"od͡ʒou; ud͡ʒərəu (SA)"	"odʒou; udʒərəu (SA)"	
963	rub	Hruso	-	Ø	
964	run	Hruso	-	Ø	
965	sago palm	Hruso	-	Ø	
966	salt	Hruso	"xu; ru ~ ɣu (SA)"	"xu; ru ~ ɣu (SA)"	
967	sand	Hruso	bali	bali	
968	seed	Hruso	ʔə̌sə	ʔəsə	
969	sell	Hruso	dɹu	dɹu	
970	seven	Hruso	"mɹo; mrjo (SA)"	"mɹo; mrjo (SA)"	
971	sew	Hruso	kʃijo	kʃijo	
972	short	Hruso	"ʔĕtʃesa; udu(sa) (SA)"	"ʔetʃesa; udu(sa) (SA)"	
973	shoulder	Hruso	-	Ø	
974	sister (elder)	Hruso	ʔama	ʔama	
975	sit, stay	Hruso	"xowe; ɣɔ ~ ro (SA)"	"xowe; ɣɔ ~ ro (SA)"	
976	six	Hruso	"xe; rijɛ (SA)"	"xe; rijɛ (SA)"	
977	skin	Hruso	ʔə̆tʃʰə	ʔətʃʰə	
978	sky	Hruso	"med͡ze; ɲed͡zə (SA)"	"medze; ɲedzə (SA)"	
979	sleep	Hruso	"dɹumudʒo; d͡ʒu (SA)"	"dɹumudʒo; dʒu (SA)"	
980	smell (v)	Hruso	sohu (SA)	sohu (SA)	
981	smoke (n.)	Hruso	mŭkʃə	mukʃə	
982	snake	Hruso	by	by	
983	snow	Hruso	tʰĩɲo (SA)	tʰĩɲo (SA)	
984	soft, smooth	Hruso	"d͡ʒu; nə (SA)"	"dʒu; nə (SA)"	
985	soil	Hruso	no	no	
986	speak	Hruso	tʃʰedʒo	tʃʰedʒo	
987	spear	Hruso	tʃudʒu	tʃudʒu	
988	spicy	Hruso	"nəsə; nəʃə (SA)"	"nəsə; nəʃə (SA)"	
989	spittle	Hruso	zem d͡ʒi (SA)	zem dʒi (SA)	
990	split	Hruso	-	Ø	
991	stab, punch	Hruso	k͡ʃi (SA)	kʃi (SA)	
992	stand	Hruso	gudʒu	gudʒu	
993	star	Hruso	lə̆t͡sə	lətsə	
994	steal	Hruso	"kʃatʃudʒo; sak͡sə ~ t͡sak͡sə (SA)"	"kʃatʃudʒo; saksə ~ tsaksə (SA)"	
995	storehouse, granary	Hruso	-	Ø	
996	straight	Hruso	gədou (SA)	gədou (SA)	
997	suck	Hruso	-	Ø	
998	sun	Hruso	"dɹu; d͡ʒu (SA)"	"dɹu; dʒu (SA)"	
999	swallow	Hruso	-	Ø	
1000	sweet	Hruso	"dʃə̆mtʃu; d͡ʒimt͡ʃiu (SA)"	"dʃəmtʃu; dʒimtʃiu (SA)"	
1001	swell	Hruso	-	Ø	
1002	(swidden) field	Hruso	-	Ø	
1003	swim	Hruso	"hudɹo; d͡ʒo (SA)"	"hudɹo; dʒo (SA)"	
1004	tail	Hruso	"ʔexem; ərim (SA)"	"ʔexem; ərim (SA)"	
1005	take	Hruso	ladʒo	ladʒo	
1006	tell	Hruso	"tru; t͡ʃʰe (SA)"	"tru; tʃʰe (SA)"	
1007	ten	Hruso	"xə; ɣə ~ rə (SA)"	"xə; ɣə ~ rə (SA)"	
1008	that	Hruso	tʰose	tʰose	
1009	that (lower)	Hruso	-	Ø	
1010	thigh	Hruso	-	Ø	
1011	think	Hruso	-	Ø	
1012	this	Hruso	"heji; huŋlo (SA)"	"heji; huŋlo (SA)"	
1013	thread	Hruso	məʃin	məʃin	
1014	three	Hruso	"dʒə;  d͡zə (SA)"	"dʒə;  dzə (SA)"	
1015	thorn	Hruso	kut͡ʃu	kutʃu	
1016	thousand	Hruso	hădʒaxa	hadʒaxa	
1017	tongue	Hruso	"ʔedʒabla; zebla (SA)"	"ʔedʒabla; zebla (SA)"	
1018	tooth	Hruso	"ʔetʰu; ət͡ʃu (SA)"	"ʔetʰu; ətʃu (SA)"	
1019	tree	Hruso	"ʃoɲi; ʃõn (SA)"	"ʃoɲi; ʃõn (SA)"	
1020	turquoise	Hruso	-	Ø	
1021	two	Hruso	"kʃə; k͡sə (SA)"	"kʃə; ksə (SA)"	
1022	uncooked rice	Hruso	ʔolgə	ʔolgə	
1023	vegetable	Hruso	pʰijɛ (SA)	pʰijɛ (SA)	
1024	vomit	Hruso	-	Ø	
1025	walk	Hruso	"d͡ʒe (SA); dʒu"	"dʒe (SA); dʒu"	
1026	hot, warm	Hruso	"ʃu; ʃəu (SA)"	"ʃu; ʃəu (SA)"	
1027	water	Hruso	kʰu	kʰu	
1028	waterfall	Hruso	k͡sət͡su (SA)	ksətsu (SA)	
1029	weave	Hruso	tʰijo	tʰijo	
1030	what	Hruso	ha	ha	
1031	where	Hruso	"hagə; hago (SA)"	"hagə; hago (SA)"	
1032	white	Hruso	gro	gro	
1033	who	Hruso	"dʒu; d͡zu (SA)"	"dʒu; dzu (SA)"	
1034	wind	Hruso	lau (SA)	lau (SA)	
1035	window	Hruso	kʰirki	kʰirki	
1036	wing	Hruso	-	Ø	
1037	with	Hruso	d͡ʒa (SA)	dʒa (SA)	
1038	wood	Hruso	ʃo	ʃo	
1039	woman	Hruso	mim(i)	mim(i)	
1040	year	Hruso	"ʔodʒe; lid͡zə (SA)"	"ʔodʒe; lidzə (SA)"	
1041	yesterday	Hruso	"ɸu; fwu (SA)"	"ɸu; fwu (SA)"	
1042	younger sibling	Hruso	"ʔonu; ɲiu (SA)"	"ʔonu; ɲiu (SA)"	
1043	1SG	Hruso	no	no	
1044	2SG	Hruso	bʰa	bʰa	
1045	3SG	Hruso	ʔi	ʔi	
1046	1DU	Hruso	-	Ø	
1047	1PL	Hruso	"ɲi; ani (SA)"	"ɲi; ani (SA)"	
1048	2PL	Hruso	dʒo	dʒo	
1049	3PL	Hruso	na	na	
1050	aconite	PH	*nə-paŋ	nə+paŋ	B&L15
1051	ant	PH	*si-ni	si+ni	B&L15
1052	awake	PH	*pri	pri	B&L15
1053	axe	PH	*bə-ru(d͡ziŋ)	bə+ru(dziŋ)	B&L15
1054	bad	PH	*mə-niŋ	mə+niŋ	B&L15
1055	bamboo (big)	PH	*bra	bra	B&L15
1056	bark (tree)	PH	*(g)o-prja	(g)o+prja	B&L15
1057	bear	PH	*sə-t͡saŋ	sə+tsaŋ	B&L15
1058	bee	PH	*majk	majk	B&L15
1059	big (thick, wide)	PH	*mə-doʔ	mə+doʔ	B&L15
1060	bird	PH	*bə-dow	bə+dow	B&L15
1061	bite	PH	*taʔ	taʔ	B&L15
1062	bitter	PH	*kam	kam	B&L15
1063	blanket	PH	-	Ø	B&L15
1064	blood	PH	*jaC	jaC	B&L15
1065	blow	PH	-	Ø	B&L15
1066	body	PH	-	Ø	B&L15
1067	body hair, feather	PH	*mə-muC	mə+muC	B&L15
1068	boil (water)	PH	*lu	lu	B&L15
1069	bone	PH	*mə-ri-jaŋ	mə+ri+jaŋ	B&L15
1070	bow	PH	*gə-raj	gə+raj	B&L15
1071	breath	PH	-	Ø	B&L15
1072	"breast; milk"	PH	*mə-nuŋ	mə+nuŋ	B&L15
1073	broom	PH	*(nam)sjaj	(nam)sjaj	B&L15
1074	burn	PH	-	Ø	B&L15
1075	"cane; rope"	PH	*su	su	B&L15
1076	chicken	PH	*dowC	dowC	B&L15
1077	child	PH	-	Ø	B&L15
1078	chin	PH	*mə-ga-daʔ	mə+ga+daʔ	B&L15
1079	cloth	PH	*gi-le	gi+le	B&L15
1080	cloud	PH	*majməwŋ	majməwŋ	B&L15
1081	coal	PH	-	Ø	B&L15
1082	cook	PH	*ku	ku	B&L15
1083	cooking oil	PH	-	Ø	B&L15
1084	copula	PH	-	Ø	B&L15
1085	cow	PH	*su	su	B&L15
1086	cry	PH	*kraC	kraC	B&L15
1087	cut	PH	*taj	taj	B&L15
1088	day	PH	*ga	ga	B&L15
1089	dead body	PH	-	Ø	B&L15
1090	deep	PH	*mə-ruk	mə+ruk	B&L15
1091	die	PH	*θəj	θəj	B&L15
1092	dig	PH	*taC	taC	B&L15
1093	dirty	PH	*ni-t͡ɕi	ni+tɕi	B&L15
1094	do	PH	*ru	ru	B&L15
1095	door	PH	*piŋ	piŋ	B&L15
1096	dream	PH	*tai-mə	tai+mə	B&L15
1097	drink	PH	*tuŋ	tuŋ	B&L15
1098	dry	PH	*mə-ki-laŋ	mə+ki+laŋ	B&L15
1099	eat	PH	*t͡ɕa	tɕa	B&L15
1100	egg	PH	*do-riŋ	do+riŋ	B&L15
1101	eight	PH	*sə-giC	sə+giC	B&L15
1102	elder brother	PH	*(a/mə)ko	(a/mə)ko	B&L15
1103	elephant	PH	-	Ø	B&L15
1104	empty	PH	*mə-hi-laŋ	mə+hi+laŋ	B&L15
1105	excrete, defecate	PH	*t͡səj	tsəj	B&L15
1106	excrement	PH	-	Ø	B&L15
1107	eye	PH	*mə-jaʔ	mə+jaʔ	B&L15
1108	far	PH	*mə-rəŋ	mə+rəŋ	B&L15
1109	fat (n)	PH	*mə-baC	mə+baC	B&L15
1110	fear	PH	*ri	ri	B&L15
1111	few	PH	*mejʔ	mejʔ	B&L15
1112	fight	PH	*rəj	rəj	B&L15
1113	finger	PH	*mə-guC-t͡ɕoʔ	mə+guC+tɕoʔ	B&L15
1114	fire	PH	*maj	maj	B&L15
1115	fireplace	PH	*laC	laC	B&L15
1116	fish	PH	*trV	trV	B&L15
1117	five	PH	*bə-ŋu	bə+ŋu	B&L15
1118	flow	PH	-	Ø	B&L15
1119	flower	PH	*mə-boC	mə+boC	B&L15
1120	friend	PH	*mə-d͡ʑoC	mə+dʑoC	B&L15
1121	frog	PH	*d͡ʑuC	dʑuC	B&L15
1122	fruit	PH	*θai	θai	B&L15
1123	four	PH	*bə-ləj	bə+ləj	B&L15
1124	full	PH	*liŋ	liŋ	B&L15
1125	garlic, onion	PH	*kikmuŋ	kikmuŋ	B&L15
1126	give	PH	*bəj	bəj	B&L15
1127	goat	PH	*se-preN	se+preN	B&L15
1128	grandfather	PH	-	Ø	B&L15
1129	grandmother	PH	-	Ø	B&L15
1130	grass	PH	-	Ø	B&L15
1131	grind, crush	PH	*rajC	rajC	B&L15
1132	guts	PH	*mə-luŋ	mə+luŋ	B&L15
1133	hair	PH	*go-pu	go+pu	B&L15
1134	hard	PH	*mə-gaŋ-lo	mə+gaŋ+lo	B&L15
1135	hammer	PH	-	Ø	B&L15
1136	hand, arm	PH	*mə-guC	mə+guC	B&L15
1137	"have; exist"	PH	*du	du	B&L15
1138	head	PH	*mə-go-kuŋ	mə+go+kuŋ	B&L15
1139	heart	PH	*mə-luŋ-wəwC	mə+luŋ+wəwC	B&L15
1140	heavy	PH	*mə-ləj	mə+ləj	B&L15
1141	horn	PH	*mə-su	mə+su	B&L15
1142	horse	PH	-	Ø	B&L15
1143	house	PH	*nam	nam	B&L15
1144	how many	PH	*kə-na	kə+na	B&L15
1145	human	PH	*niC	niC	B&L15
1146	hundred	PH	*bə-luŋ	bə+luŋ	B&L15
1147	ill	PH	*noC	noC	B&L15
1148	insect	PH	*bəw-luŋ	bəw+luŋ	B&L15
1149	iron	PH	*suN	suN	B&L15
1150	itch	PH	*gə-d͡ʑuk	gə+dʑuk	B&L15
1151	kick	PH	*dəgraŋ	dəgraŋ	B&L15
1152	kill	PH	*gajC	gajC	B&L15
1153	knife	PH	*vaj-t͡suŋ	vaj+tsuŋ	B&L15
1154	know	PH	*ni	ni	B&L15
1155	laugh	PH	*toC	toC	B&L15
1156	leaf	PH	*mə-rajC	mə+rajC	B&L15
1157	leech	PH	*lə-wajC	lə+wajC	B&L15
1158	leg	PH	*laj	laj	B&L15
1159	lick	PH	-	Ø	B&L15
1160	lift	PH	*laŋ	laŋ	B&L15
1161	light	PH	*mə-lə-taŋ	mə+lə+taŋ	B&L15
1162	liquor	PH	*t͡ɕi	tɕi	B&L15
1163	listen, hear	PH	*rej	rej	B&L15
1164	live, grow up	PH	*siŋ	siŋ	B&L15
1165	liver/lungs	PH	*mə-θin LIVER	mə+θin LIVER	B&L15
1166	long	PH	*mə-pjaŋ	mə+pjaŋ	B&L15
1167	look, see	PH	*gaŋ	gaŋ	B&L15
1168	louse	PH	*saC	saC	B&L15
1169	"make; do"	PH	*daj	daj	B&L15
1170	man (male)	PH	*niC	niC	B&L15
1171	meat	PH	*su	su	B&L15
1172	medicine	PH	-	Ø	B&L15
1173	melt	PH	-	Ø	B&L15
1174	month	PH	*lu	lu	B&L15
1175	moon	PH	*lu	lu	B&L15
1176	mountain	PH	-	Ø	B&L15
1177	"mouth; language"	PH	*mə-nuŋ	mə+nuŋ	B&L15
1178	mortar	PH	*lu-lV	lu+lV	B&L15
1179	mother	PH	*me-naj	me+naj	B&L15
1180	name	PH	*mə-mjiŋ	mə+mjiŋ	B&L15
1181	near	PH	*mə-nej	mə+nej	B&L15
1182	neg. imp.	PH	*ta-	ta	B&L15
1183	new	PH	*mə-gə-nu	mə+gə+nu	B&L15
1184	night	PH	*nə-gaC	nə+gaC	B&L15
1185	nine	PH	*sə-tiŋ	sə+tiŋ	B&L15
1186	nose	PH	-	Ø	B&L15
1187	old	PH	*mə-ɕoʔ	mə+ɕoʔ	B&L15
1188	one	PH	*a-ken	a+ken	B&L15
1189	otter	PH	-	Ø	B&L15
1190	paddy rice	PH	*an	an	B&L15
1191	penis	PH	-	Ø	B&L15
1192	pestle	PH	*bə-laC	bə+laC	B&L15
1193	pig	PH	*jowʔ	jowʔ	B&L15
1194	pillow	PH	*go-kuN	go+kuN	B&L15
1195	pull	PH	-	Ø	B&L15
1196	put	PH	-	Ø	B&L15
1197	rain	PH	"*nə-dəj; *pro"	"nə+dəj; pro"	B&L15
1198	red	PH	*t͡ɕaʔ	tɕaʔ	B&L15
1199	revenge	PH	-	Ø	B&L15
1200	ring	PH	*gə-leC	gə+leC	B&L15
1201	river	PH	-	Ø	B&L15
1202	road	PH	*lam-baŋ	lam+baŋ	B&L15
1203	root	PH	*mə-kriŋ	mə+kriŋ	B&L15
1204	round	PH	*mə-də-rəw	mə+də+rəw	B&L15
1205	rub	PH	-	Ø	B&L15
1206	run	PH	-	Ø	B&L15
1207	sago palm	PH	-	Ø	B&L15
1208	salt	PH	*lu	lu	B&L15
1209	sand	PH	*sə-gə-raj	sə+gə+raj	B&L15
1210	seed	PH	*mə-θai	mə+θai	B&L15
1211	sell	PH	*laC	laC	B&L15
1212	seven	PH	*mə-ljak	mə+ljak	B&L15
1213	sew	PH	*k(r)iC	k(r)iC	B&L15
1214	short	PH	*mə-nuŋ	mə+nuŋ	B&L15
1215	shoulder	PH	-	Ø	B&L15
1216	sister (elder)	PH	*mə-ma	mə+ma	B&L15
1217	sit, stay	PH	*d͡ʑuC	dʑuC	B&L15
1218	six	PH	*reC	reC	B&L15
1219	skin	PH	*mə-prja	mə+prja	B&L15
1220	sky	PH	*nə-də-laŋ	nə+də+laŋ	B&L15
1221	sleep	PH	*d͡ʑV	dʑV	B&L15
1222	smell (v)	PH	-	Ø	B&L15
1223	smoke (n.)	PH	*maj-kən	maj+kən	B&L15
1224	snake	PH	*bəw	bəw	B&L15
1225	snow	PH	*dəren	dəren	B&L15
1226	soft, smooth	PH	*mə-lə-prjuC	mə+lə+prjuC	B&L15
1227	soil	PH	*naʔ	naʔ	B&L15
1228	speak	PH	*təwC	təwC	B&L15
1229	spear	PH	*d͡ʑuŋ	dʑuŋ	B&L15
1230	spicy	PH	*məsu	məsu	B&L15
1231	spittle	PH	*jeʔ	jeʔ	B&L15
1232	split	PH	-	Ø	B&L15
1233	stab, punch	PH	-	Ø	B&L15
1234	stand	PH	*gu	gu	B&L15
1235	star	PH	*lə-t͡ɕuŋ	lə+tɕuŋ	B&L15
1236	steal	PH	*kə	kə	B&L15
1237	storehouse, granary	PH	*t͡ɕuŋ	tɕuŋ	B&L15
1238	straight	PH	*mə-gə-raŋ 	mə+gə+raŋ 	B&L15
1239	suck	PH	*bə-nuŋ	bə+nuŋ	B&L15
1240	sun	PH	*d͡ʑuʔ	dʑuʔ	B&L15
1241	swallow	PH	*bə-ljaC	bə+ljaC	B&L15
1242	sweet	PH	*mə-jaŋ	mə+jaŋ	B&L15
1243	swell	PH	*liŋ	liŋ	B&L15
1244	(swidden) field	PH	*wa	wa	B&L15
1245	swim	PH	*d͡ʑaC	dʑaC	B&L15
1246	tail	PH	*mə-lə-mrjaj	mə+lə+mrjaj	B&L15
1247	take	PH	*ləw	ləw	B&L15
1248	tell	PH	*t͡ɕaC	tɕaC	B&L15
1249	ten	PH	*rəŋ	rəŋ	B&L15
1250	that	PH	*paj-t͡ɕi	paj+tɕi	B&L15
1251	that (lower)	PH	*pu-t͡ɕi	pu+tɕi	B&L15
1252	thigh	PH	*mə-lu	mə+lu	B&L15
1253	think	PH	-	Ø	B&L15
1254	this	PH	*huŋ	huŋ	B&L15
1255	thread	PH	-	Ø	B&L15
1256	three	PH	*gə-θəm	gə+θəm	B&L15
1257	thorn	PH	*gə-d͡ʑuC	gə+dʑuC	B&L15
1258	thousand	PH	-	Ø	B&L15
1259	tongue	PH	*bə-laj	bə+laj	B&L15
1260	tooth	PH	*mə-taC	mə+taC	B&L15
1261	tree	PH	*(g)o-naj	(g)o+naj	B&L15
1262	turquoise	PH	-	Ø	B&L15
1263	two	PH	*gə-niC	gə+niC	B&L15
1264	uncooked rice	PH	*an-lə-giN	an+lə+giN	B&L15
1265	vegetable	PH	*pen	pen	B&L15
1266	vomit	PH	*mu	mu	B&L15
1267	walk	PH	*daj	daj	B&L15
1268	hot, warm	PH	*t͡ɕaC	tɕaC	B&L15
1269	water	PH	*wi	wi	B&L15
1270	waterfall	PH	*kua-suʔ	kua+suʔ	B&L15
1271	weave	PH	*traj	traj	B&L15
1272	what	PH	*tiŋ	tiŋ	B&L15
1273	where	PH	*kəʔ	kəʔ	B&L15
1274	white	PH	*mə-gə-raN	mə+gə+raN	B&L15
1275	who	PH	*θu	θu	B&L15
1276	wind	PH	*low	low	B&L15
1277	window	PH	-	Ø	B&L15
1278	wing	PH	*gə/mə-t͡ɕəwC	gə/mə+tɕəwC	B&L15
1279	with	PH	*d͡ʑVru	dʑVru	B&L15
1280	wood	PH	*(g)o	(g)o	B&L15
1281	woman	PH	*nəməraj	nəməraj	B&L15
1282	year	PH	*də-niŋ	də+niŋ	B&L15
1283	yesterday	PH	*də-gaC	də+gaC	B&L15
1284	younger sibling	PH	*mə-nuŋ	mə+nuŋ	B&L15
1285	1SG	PH	*na(-jaŋ)	na(+jaŋ)	B&L15
1286	2SG	PH	*ni	ni	B&L15
1287	3SG	PH	*ʔi	ʔi	B&L15
1288	1DU	PH	-	Ø	B&L15
1289	1PL	PH	*ka-ni	ka+ni	B&L15
1290	2PL	PH	*d͡ʑV	dʑV	B&L15
1291	3PL	PH	*na	na	B&L15
