ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Doculect,Subgroup,Source
Lhasa,Lhasa,utsa1239,Lhasa Tibetan,,Eurasia,29.653441,91.171493,Sino-Tibetan,Lhasa,Tibetan,Huang1992
OldTibetan,OldTibetan,clas1254,Classical Tibetan,xct,Eurasia,30.027852,91.158704,Sino-Tibetan,Old Tibetan,Tibetan,Huang1992
Xiahe,Xiahe,amdo1237,Amdo Tibetan,adx,Eurasia,35.210549,102.524979,Sino-Tibetan,Xiahe,Tibetan,Huang1992
Bunan,Bunan,gahr1239,Bunan,bfu,Eurasia,32.554766,77.076283,Sino-Tibetan,Bunan,TibetoKinauri,Widmer2014
Byangsi,Byangsi,byan1241,Byangsi,bee,Eurasia,29.583838,80.22309,Sino-Tibetan,Byangsi,TibetoKinauri,Sharma2003a
Rongpo,Rongpo,rong1264,Rongpo,rnp,Eurasia,30.530044,79.569987,Sino-Tibetan,Rongpo,TibetoKinauri,Sharma2003
Jingpho,Jingpho,jing1260,Jingpho,,,25.461826,97.329866,Sino-Tibetan,Jingpho,Jingpho,Huang1992
KBEastPuroikSoja,EasternPuroikSoja,sulu1241,Eastern Puroik,suv,Eurasia,27.650542,93.172368,Sino-Tibetan,Puroik,Kho-Bwa,"RS2009, AT90"
KBEastPuroikRemsangpuia,EasternPuroikRemsangpuia,sulu1241,Eastern Puroik,suv,Eurasia,27.650542,93.172368,Sino-Tibetan,Puroik,Kho-Bwa,Remsangpuia2008
KBEastPuroikSun,EasternPuroikSun,sulu1241,Eastern Puroik,suv,Eurasia,28.41558,92.97226,Sino-Tibetan,Puroik,Kho-Bwa,Sun1991
MishmiKaman,Kaman,miju1243,Kman,mxj,Eurasia,28.416389,92.970278,Sino-Tibetan,Miju,Mishmi,Sun1991
